year,ynew,y,death,inj,magnitude,intensity,area,population,log.area,log.population
2016,,135.6,0,4,5,6,245018,5914,,
2016,,2,0,0,4.6,6,0,NA,,
2016,,102,0,0,5.4,7,0,25500,,
2016,,3.395,0,3,4.4,5,0,2170,,
2016,,33,0,0,5.1,6,0,30405,,
2016,,284.66,1,0,6.2,7,250499,81000,,
2016,,463,1,0,6.7,8,451140,11240,,
2016,,2740,0,3,6.2,8,9871871,38580,,
2016,,7,0,0,5,NA,0,NA,,
2016,,98.95,0,0,5.8,7,170038,2408,,
2016,,33,0,2,4.8,6,0,NA,,
2017,,NA,0,5,4.9,6,0,NA,,
2017,,NA,0,5,4.9,7,0,NA,,
2017,,172,0,1,5.1,6,353467,47211,,
2017,,NA,0,5,4.9,7,0,NA,,
2017,,2005,8,31,5.5,7,1184642,40381,,
2017,,NA,0,0,4.3,7,60160,NA,,
2017,,8043,30,543,7,9,2954870,449800,,
2017,,4300,0,36,6.6,8,5782275,133695,,
2017,,25.11,0,3,5.4,6,130081,46618,,
2017,,207,0,3,6.9,8,0,NA,,
2017,,NA,0,6,5,6,0,NA,,
2018,,NA,0,1,4.9,,,,,
2018,,117.545,0,0,5.3,,,,,
2018,,399.2122,0,0,5.7,,,,,
2018,,NA,0,2,4.2,,,,,
2018,,494.4,0,31,5,,,,,
2018,,383.04,0,0,5.5,,,,,
2018,,1292,0,28,5.9,,,,,
2018,,3.4,0,2,4.5,,,,,
2018,,16.36,0,0,4.5,,,,,
2018,,24.61,0,4,5.1,,,,,
2018,,390.454,0,17,5.7,,,,,
