"","year","yraw","y1","magnitude","death","inj","intensity","y2","f1","f2","u1","u2","u2_","magnitude.f"
"160",2003,0.55,0.771278778208343,4.9,0,11,6,11,0.022469337355982,0.00946721257777567,0.0205121558455503,0.603970762102653,0.594503549524877,"(3.9,5.2]"
"161",2003,93,130.416229769774,5,0,24,7,24,0.00138550076626891,0.0048676094094982,0.652182553542779,0.688076655752582,0.68309709331401,"(3.9,5.2]"
"162",2003,180.26,252.783113745156,6.1,10,44,8,54,0.000542696467239934,0.00185243464905202,0.757489195099976,0.777105929429766,0.775231070517891,"(6,9]"
"163",2004,14.62,19.7328301886792,5.6,0,5,6,5,0.0089995853237099,0.0184041032159247,0.269615161263846,0.530824278722768,0.512420175506844,"(5.2,6]"
"164",2004,202.72,273.614181658622,5.9,1,5,7,6,0.000482568420150371,0.0158219434189582,0.768148152376653,0.546646222141727,0.530824278722768,"(5.2,6]"
"165",2004,20.60329,27.8085651777095,5.9,0,0,6,0,0.0071601986398488,0.35843056944662,0.334418542606648,0.35843056944662,0,"(5.2,6]"
"166",2004,15.35,20.718121983326,4.7,1,9,6,10,0.00873708184956583,0.0102764536785518,0.278352032346239,0.594503549524877,0.584227095846326,"(3.9,5.2]"
"167",2004,16.2217,21.8946683633172,6.7,0,0,6,0,0.00843934880544091,0.35843056944662,0.288454849487815,0.35843056944662,0,"(6,9]"
"168",2004,332.26,448.456235190873,5.6,4,597,8,601,0.00022804684868509,5.8466809991746e-05,0.825844436174246,0.933006885810626,0.932948345555284,"(5.2,6]"
"169",2004,0.8338,1.12539218955682,5.8,0,0,6,0,0.0211063593334644,0.35843056944662,0.0282115668396141,0.35843056944662,0,"(5.2,6]"
"170",2004,66.00189,89.0837269153137,5,1,36,7,37,0.00226194128598751,0.00296938066966401,0.579145846706384,0.73734755911639,0.734329045172569,"(3.9,5.2]"
"171",2004,23.082,31.1541167178587,4.9,0,0,6,0,0.0065663596989274,0.35843056944662,0.357357569583981,0.35843056944662,0,"(3.9,5.2]"
"172",2004,217.2,293.158051777095,5,0,16,6,16,0.000435333398076502,0.00681816955677838,0.777105068729347,0.642650478719601,0.635832309162823,"(3.9,5.2]"
